city_name,record_date,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_PRECIPITATION,AVERAGE_RAIN,AVERAGE_DISTANCE_FREE,AVERAGE_TIME,AVERAGE_SPEED,AVERAGE_SPEED_DIFF_Num,year,day,AVERAGE_CLOUDINESS
Porto,2019-02-13 23:00:00,39.2,0.0,91.0,DARK,8.0,1026.0,71.0,1.0,0.0,NOTHING,3567.2000000000003,91.0,39.2,0.0,2019,13,céu limpo
Porto,2018-11-28 20:00:00,42.5,12.2,76.8,DARK,11.0,1020.0,93.0,4.0,0.0,NOTHING,3264.0,89.0,36.674157303370784,5.825842696629216,2018,28,nuvens quebradas
Porto,2018-08-14 05:00:00,45.9,0.0,86.3,DARK,14.0,1017.0,93.0,0.0,0.0,NOTHING,3961.1699999999996,86.3,45.9,0.0,2018,14,céu limpo
Porto,2019-07-06 17:00:00,33.2,51.7,89.9,LIGHT,22.0,1016.0,77.0,4.0,0.0,NOTHING,2984.6800000000003,141.60000000000002,21.07824858757062,12.121751412429383,2019,6,céu pouco nublado
Porto,2018-10-15 06:00:00,44.0,3.5,85.5,DARK,12.0,1004.0,100.0,9.0,0.0,chuva fraca,3762.0,89.0,42.26966292134831,1.7303370786516865,2018,15,nuvens quebradas
Porto,2019-06-19 13:00:00,36.7,22.1,70.6,LIGHT,20.0,1017.0,82.0,4.0,0.0,NOTHING,2591.02,92.69999999999999,27.950593311758364,8.749406688241638,2019,19,nuvens quebradas
Porto,2018-12-05 07:00:00,47.9,6.6,72.0,DARK,9.0,1024.0,93.0,5.0,0.0,NOTHING,3448.7999999999997,78.6,43.87786259541985,4.02213740458015,2018,5,nuvens quebradas
Porto,2019-05-20 19:00:00,34.7,19.1,68.3,LIGHT,17.0,1015.0,67.0,2.0,0.0,NOTHING,2370.01,87.4,27.116819221967965,7.5831807780320375,2019,20,céu pouco nublado
Porto,2019-07-12 06:00:00,46.5,1.3,75.4,LIGHT,17.0,1013.0,100.0,1.0,0.0,NOTHING,3506.1000000000004,76.7,45.71186440677966,0.7881355932203391,2019,12,nuvens quebradas
Porto,2018-11-16 14:00:00,38.6,20.4,75.8,LIGHT,21.0,1014.0,60.0,2.0,0.0,NOTHING,2925.88,96.19999999999999,30.414553014553018,8.185446985446983,2018,16,céu limpo
